[12/11/2025 03:23:05 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:30:25 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:33:54 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:44:54 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:44:54 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:46:01 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:46:24 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 03:46:35 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:32:01 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:34:54 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:34:54 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:34:54 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:43:18 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:52:58 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 06:54:36 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:00:03 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:00:11 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:00:48 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:01:29 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:01:29 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:02:12 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:37:25 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:38:13 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:53:11 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:54:51 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:55:57 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:57:49 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 07:59:23 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:00:19 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:07:33 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:08:11 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:32:09 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:32:22 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:33:56 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:35:27 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:39:47 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:40:02 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:40:56 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:45:14 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:46:39 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:46:57 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:48:28 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:48:47 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:50:27 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:50:39 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:51:36 p. m.] [INFO] received Windows console close event; shutting log-core down
[12/11/2025 08:51:45 p. m.] [INFO] received Windows console close event; shutting log-core down
